Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID
Bozak Tyler,STL,Player,16:59,0,1,0,2,0,0,0,0,2255
Barbashyov Ivan,STL,Player,19:03,0,0,0,-2,0,0,0,0,3871
Buchnevich Pavel,STL,Player,15:19,0,0,0,-2,0,0,4,0,226
Saad Brandon,STL,Player,19:49,0,0,0,-1,0,0,0,2,1737
Thomas Robert,STL,Player,08:10,0,0,0,0,0,0,1,0,3452
Acciari Noel,STL,Player,16:51,0,2,0,2,0,0,1,1,2639
Bortuzzo Robert,STL,Player,19:22,0,1,0,2,0,0,0,3,4409
Mikkola Niko,STL,Player,16:23,0,0,0,-2,0,0,1,3,1141
Parayko Colton,STL,Player,22:42,0,0,0,-2,0,0,0,3,4669
Pitlick Rem,STL,Player,05:15,0,0,0,0,0,0,2,0,6566
O'Reilly Ryan,STL,Player,24:52,1,0,0,-2,1,0,4,1,3062
Perunovich Scott,STL,Player,20:12,0,0,0,2,0,0,0,3,6590
Kyrou Jordan,STL,Player,12:31,0,0,0,0,0,0,0,0,6208
Krug Torey,STL,Player,29:10,0,0,0,-2,0,0,0,0,3615
Schenn Brayden,STL,Player,18:21,0,0,0,-2,0,0,0,2,4131
Leivo Josh,STL,Player,17:15,2,0,0,2,0,0,5,1,2541
Faulk Justin,STL,Player,21:43,0,1,0,-2,0,0,1,2,3744
Tarasenko Vladimir,STL,Player,15:48,0,0,0,-2,0,0,0,0,2695
Binnington Jordan,STL,Goalie,64:05,-,0,0,-,4,0,19,-,6069
Greiss Thomas,STL,Goalie,00:00,-,0,0,-,0,0,0,-,740
Suzuki Nick,MTL,Player,23:56,0,0,0,-2,0,0,3,4,1922
Gallagher Brendan,MTL,Player,22:27,0,0,0,-2,0,0,0,5,2699
Drouin Jonathan,MTL,Player,11:32,0,0,2,-1,0,0,0,3,2499
Anderson Josh,MTL,Player,21:31,0,0,0,-1,0,0,2,0,4955
Guhle Kaiden,MTL,Player,12:06,0,0,0,3,0,0,0,9,6615
Slafkovsky Juraj,MTL,Player,17:01,0,2,0,2,0,0,1,5,6616
Dadonov Evgeny,MTL,Player,12:58,2,1,0,3,0,0,3,1,4051
Savard David,MTL,Player,32:32,0,0,0,-1,0,0,0,9,4423
Evans Jake,MTL,Player,09:54,0,0,0,1,0,0,3,1,3818
Matheson Michael,MTL,Player,26:34,0,0,0,-1,0,0,0,7,6057
Caufield Cole,MTL,Player,11:24,0,0,0,0,0,0,1,4,6558
Dach Kirby,MTL,Player,08:29,0,1,0,1,0,0,1,1,3937
Monahan Sean,MTL,Player,17:39,1,2,0,3,0,0,3,0,5281
Edmundson Joel,MTL,Player,16:12,0,1,0,3,0,0,0,4,4557
Dvorak Christian,MTL,Player,13:17,0,0,0,0,0,0,1,4,6034
Hoffman Mike,MTL,Player,09:56,1,0,0,1,0,0,1,0,2611
Wideman Chris,MTL,Player,20:49,0,0,2,0,0,0,0,2,4184
Bowey Madison,MTL,Player,21:53,0,1,0,0,0,0,0,10,6201
Price Carey,MTL,Goalie,64:46,-,0,0,-,3,0,19,-,5153
Allen Jake,MTL,Goalie,00:00,-,0,0,-,0,0,0,-,5824
